example_id                                 | status | run_time        |
./spec/string_calculator_spec.rb[1:2]      | passed | 0.00077 seconds |
./spec/string_calculator_spec.rb[1:3]      | passed | 0.00104 seconds |
./spec/string_calculator_spec.rb[1:4]      | passed | 0.00089 seconds |
./spec/string_calculator_spec.rb[1:5]      | passed | 0.00098 seconds |
./spec/string_calculator_spec.rb[1:6]      | passed | 0.00311 seconds |
./spec/string_calculator_spec.rb[1:7]      | passed | 0.00088 seconds |
./spec/string_calculator_spec.rb[1:8]      | passed | 0.00102 seconds |
./spec/string_calculator_spec.rb[1:9]      | passed | 0.00098 seconds |
./spec/string_calculator_spec.rb[1:10]     | passed | 0.00121 seconds |
./spec/string_calculator_spec.rb[1:11]     | passed | 0.00128 seconds |
./spec/string_calculator_spec.rb[1:12]     | passed | 0.00149 seconds |
./spec/string_calculator_spec.rb[1:13]     | passed | 0.00097 seconds |
./spec/string_calculator_spec.rb[1:14]     | passed | 0.00109 seconds |
./spec/two_fer_spec.rb[1:1]                | failed | 0.00042 seconds |
./spec/two_fer_spec.rb[1:2]                | failed | 0.02207 seconds |
